用户ID,用户昵称,用户头像地址,评论时间,点赞总数,评论内容
89041528,lztxdy,http://p2.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg,1440939487649,26258,说好的一辈子，少了一年一天一个时辰都不能算是一辈子。宁愿此生生活在痛苦中，也不愿意忘掉你， 留恋你无意间的柔情万种。爱一人，此生无悔。
15854611,绿领巾队长,http://p2.music.126.net/2o3spOzp7sEIiUCGRCVO7Q==/2532175282275513.jpg,1452532728604,23235,刚看完164分钟的《霸王别姬》，每一秒都那么好看
75489350,虛假繁榮,http://p2.music.126.net/MbiGvifPLrW13DFuMBxpag==/109951163003086834.jpg,1452704058607,21594,哥哥是完美的处女座，他的确也做到了完美，诠释了完美的人格、演技、唱功，只是他最后要拍一部好电影的遗愿还没有完成，可惜。
45302720,汉堡包爱我,http://p2.music.126.net/-1Zun0gU94gzBPqr4-wyuQ==/3247957350444609.jpg,1419520152714,93666,我爸最喜欢的歌，07年的时候负债400多万，很多人看不起他，他就默默地做事，就在前几天把欠的都基本还上了，他教我做人就要笑骂由人，洒脱地做人。
44447522,大明浮生梦游记,http://p2.music.126.net/wnyXxp8xqv_BEhtW3C1fag==/109951163514821418.jpg,1420816778146,28500,中国十几亿人   却再不会有一个哥哥了[哀伤]
30758074,Sole_,http://p2.music.126.net/s87egkHA91QKJ1gvY9M-GQ==/5964850581140934.jpg,1424182019848,24010,考研的失利，女朋友的离去，家里的琐事几乎都在同一时间发生，这段时间我真的好累好累，我快坚持不住了，每到这个时候哥哥的歌总能让我平静下来，静静的听着，总是还会相信明天会更好，一切都会好起来的～[爱心]，每每听着总是可以给我坚持的力量
7342298,梦里杜康,http://p2.music.126.net/XURgJzWxrcjgaRCoeDAVaw==/2538772349837982.jpg,1415543533696,16661,沉默是金，洒脱为人
54348767,張國榮是靚仔呀,http://p2.music.126.net/yr9Kdu6_zb5xbN4c6B0lqQ==/19076526742369573.jpg,1462869854837,15875,大家跟我一起做：网易云音乐-设置-意见反馈-输入“强烈要求补全张国荣的所有歌版权！”谢谢!
250903583,葉來風雨聲-古,http://p2.music.126.net/dz_iCKcpf5-aEuG2OdPSAw==/18975371672539154.jpg,1460383028237,14034,张国荣先生是一个100分的好人。曾经有一句话这么形容他:与他的才华相比 他的容貌不值一提 与他的人品相比 他的才华不值一提
7629556,墨_子陳,http://p2.music.126.net/XOGgFYAYTjBHm7qHJIFdmw==/109951162912877920.jpg,1419388821045,9315,人生就应该“笑骂由人、洒脱地做人”，不理别人的闲言碎语，人生才能无所拘束，方能活得精彩。
121816221,晨风ci,http://p2.music.126.net/RM4vmPStWHTG0JQFBet5rA==/19217264230759837.jpg,1459922885218,8715,有人说：“人这辈子一共会死三次。第一次是你的心脏停止跳动，那么从生物的角度来说，你死了；第二次是在葬礼上，认识你的人都来祭奠，那么你在社会上的地位就死了；第三次是在最后一个记得你的人死后，那你就真的死了。”但哥哥这个人是不会随着时间的推移而使人遗忘。
96767550,孤单的sam哥哥,http://p2.music.126.net/qT3UcDxMi-62j3agXjWU1w==/109951163062592517.jpg,1452491951200,7606,三年学讲话，一生学闭嘴！
267222946,浪潮Siri,http://p2.music.126.net/0cUv8xOE15-NZmaQBbrTRQ==/109951162893359481.jpg,1480340712803,6907,以前读书时、一个同学总被人家欺负。但都装作没事、突然有次爆发了、把对方的手都打折了！事后我们班主任叫他出去门口、一巴扇过去：人家挑衅你、你不会忍一下啊！      同学红着眼爆吼：我妈生我出来不是被人欺负、不是专门去忍的！      那一次我为他鼓掌了！
44032565,小城市的姑娘,http://p2.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg,1417751760200,6654,哥哥的歌越听越好听，经得起时间得洗礼，大爱
